Lil' B's dad,Arodo,Dawn of crytpo,JN,Zaclele,Numanuma,DollarBillClinton,Mati Roy,SquatBandit,Big Swinging Donkey,CryptoElite,Kryptonite,🔝 🎩 🤠,Shopolopoulopoulos,HotBatTakesTheCake,stooart,LONG ETH,Jho,Choukilele,mc_scrad,LONG BTC,Felicia Bootylicious
6.606859776,7.389172053,5.688835976,4.238397901,-0.676247696,18.31930404,14.48757997,8.056888381,10.9886661,12.72686921,6.249303071,29.74965597,9.53822802,9.53822802,28.99712497,17.34884506,17.35201753,12.87382322,9.292827729,14.88660126,3.455676154,3.455676154
6.69171381,7.502382423,5.758833951,4.291721488,-0.710681144,18.60722971,14.71957308,8.178732121,11.14849683,12.91856421,6.350877779,30.2438257,9.681384365,9.681384365,29.48103174,17.63577946,17.64089826,13.07926554,9.437606692,15.12348237,3.500958723,3.500958723
6.773500362,7.612921368,5.826085795,4.343037245,-0.745873204,18.88884771,14.9467528,8.297608626,11.30403973,13.10551896,6.450486409,30.72896808,9.820991182,9.820991182,29.95617085,17.91737434,17.92447599,13.28041222,9.579132044,15.35536799,3.544675953,3.544675953
6.852240052,7.720805651,5.890611832,4.392359197,-0.781817462,19.16419811,15.16914913,8.413537529,11.4553253,13.28776333,6.548144651,31.20514674,9.957072667,9.957072667,30.42259935,18.19366564,18.20278322,13.47729091,9.71742448,15.58229033,3.58683844,3.58683844
6.927953494,7.826052039,5.952432384,4.439701367,-0.818507505,19.43332096,15.38679207,8.526538466,11.60238403,13.46532714,6.643868196,31.67242532,10.08965301,10.08965301,30.88037431,18.46468931,18.47585244,13.66992927,9.852504698,15.80428161,3.627456776,3.627456776
7.000661308,7.928677296,6.011567776,4.485077779,-0.855936921,19.69625633,15.59971163,8.63663107,11.74524642,13.63824024,6.737672733,32.13086746,10.21875642,10.21875642,31.32955281,18.73048129,18.74371615,13.85835496,9.984393393,16.02137404,3.666541555,3.666541555
7.070384111,8.028698188,6.068038331,4.528502458,-0.894099297,19.95304429,15.80793782,8.743834976,11.88394295,13.80653248,6.829573952,32.5805368,10.34440708,10.34440708,31.77019192,18.99107752,19.00640686,14.04259564,10.11311126,16.23359985,3.704103373,3.704103373
7.137142518,8.126131479,6.121864373,4.569989428,-0.93298822,20.2037249,16.01150063,8.848169819,12.01850413,13.9702337,6.919587544,33.02149697,10.46662918,10.46662918,32.2023487,19.24651394,19.26395706,14.22267895,10.238679,16.44099124,3.740152823,3.740152823
7.200957149,8.220993936,6.173066224,4.609552713,-0.972597277,20.44833821,16.21043008,8.949655232,12.14896044,14.12937374,7.007729197,33.45381161,10.58544693,10.58544693,32.62608022,19.49682649,19.51639925,14.39863256,10.3611173,16.64358043,3.774700498,3.774700498
7.261848619,8.313302323,6.221664209,4.647206338,-1.012920055,20.6869243,16.40475616,9.048310851,12.27534238,14.28398244,7.094014602,33.87754437,10.70088451,10.70088451,33.04144356,19.74205112,19.76376594,14.57048412,10.48044687,16.84139964,3.807756994,3.807756994
7.319837547,8.403073406,6.267678651,4.682964326,-1.053950142,20.91952323,16.59450888,9.144156308,12.39768045,14.43408966,7.178459449,34.29275887,10.81296613,10.81296613,33.44849578,19.98222377,20.0060896,14.73826129,10.59668839,17.03448109,3.839332903,3.839332903
7.37494455,8.490323949,6.311129874,4.716840702,-1.095681125,21.14617506,16.77971825,9.23721124,12.51600514,14.57972522,7.261079428,34.69951877,10.92171597,10.92171597,33.84729396,20.21738038,20.24340276,14.90199173,10.70986257,17.22285698,3.869438821,3.869438821
7.427190244,8.575070719,6.352038201,4.74884949,-1.138106591,21.36691986,16.96041426,9.32749528,12.63034695,14.72091899,7.341890229,35.09788768,11.02715824,11.02715824,34.23789516,20.44755689,20.4757379,15.06170309,10.81999009,17.40655954,3.898085341,3.898085341
7.476595248,8.65733048,6.390423955,4.779004715,-1.181220127,21.58179768,17.13662693,9.415028062,12.74073636,14.85770079,7.420907541,35.48792927,11.12931712,11.12931712,34.62035645,20.67278924,20.70312753,15.21742303,10.92709167,17.58562098,3.925283057,3.925283057
7.523180178,8.737119997,6.42630746,4.8073204,-1.22501532,21.79084859,17.30838625,9.499829221,12.84720388,14.99010047,7.498147055,35.86970715,11.22821682,11.22821682,34.99473491,20.89311338,20.92560414,15.3691792,11.03118798,17.76007351,3.951042564,3.951042564
7.566965652,8.814456036,6.45970904,4.83381057,-1.269485758,21.99411266,17.47572224,9.581918392,12.94977999,15.11814787,7.57362446,36.24328498,11.32388152,11.32388152,35.36108759,21.10856524,21.14320024,15.51699926,11.13229974,17.92994936,3.975374455,3.975374455
7.607972286,8.889355362,6.490649019,4.858489248,-1.314625027,22.19162995,17.63866489,9.661315208,13.0484952,15.24187285,7.647355447,36.60872639,11.41633542,11.41633542,35.71947158,21.31918078,21.35594831,15.66091087,11.23044763,18.09528074,3.998289324,3.998289324
7.646220699,8.961834739,6.519147719,4.88137046,-1.360426715,22.38344052,17.7972442,9.738039305,13.14337999,15.36130524,7.719355705,36.96609501,11.50560273,11.50560273,36.06994394,21.52499593,21.56388087,15.80094169,11.32565235,18.25609986,4.019797766,4.019797766
7.681731508,9.031910935,6.545225464,4.902468229,-1.40688441,22.56958444,17.9514902,9.812110315,13.23446486,15.47647488,7.789640924,37.31545449,11.59170762,11.59170762,36.41256175,21.72604663,21.76703041,15.93711936,11.4179346,18.41243893,4.039910375,4.039910375
7.714525329,9.099600712,6.568902578,4.92179658,-1.453991697,22.75010177,18.10143286,9.883547875,13.3217803,15.58741162,7.858226794,37.65686846,11.6746743,11.6746743,36.74738206,21.92236882,21.96542942,16.06947155,11.50731507,18.56433019,4.058637744,4.058637744
7.744622781,9.164920838,6.590199384,4.939369536,-1.501742165,22.92503256,18.24710222,9.952371617,13.40535681,15.6941453,7.925129006,37.99040056,11.75452697,11.75452697,37.07446195,22.11399846,22.15911042,16.19802592,11.59381446,18.71180583,4.075990468,4.075990468
7.77204448,9.227888077,6.609136206,4.955201122,-1.550129401,23.0944169,18.38852825,10.01860118,13.48522489,15.79670577,7.990363248,38.31611444,11.83128981,11.83128981,37.3938585,22.30097147,22.34810589,16.32281011,11.67745347,18.85489808,4.09197914,4.09197914
7.796811043,9.288519193,6.625733367,4.969305363,-1.599146991,23.25829483,18.52574098,10.08225619,13.56141502,15.89512287,8.053945212,38.63407372,11.90498702,11.90498702,37.70562876,22.4833238,22.53244833,16.44385179,11.75825279,18.99363915,4.106614356,4.106614356
7.818943088,9.346830954,6.640011191,4.981696282,-1.648788524,23.41670642,18.6587704,10.14335629,13.63395771,15.98942643,8.115890586,38.94434205,11.9756428,11.9756428,38.00982981,22.6610914,22.71217025,16.56117861,11.83623312,19.12806126,4.119906708,4.119906708
